ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
node_os.cache:memlink, packet_latency, , Accumulator, 2094933680, 0, 1119478, 152048202, 8558, 65, 142
node_os.cache:memlink, send_bit_count, , Accumulator, 2094933680, 0, 2471808, 1266475008, 8558, 64, 576
node_os.cache:memlink, output_port_stalls, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache:memlink, idle_time, , Accumulator, 2094933680, 0, 1371972875, 405967600749203175, 1054, 4165, 636668820
node_os.cache, default_stat, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetS_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetS_S, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetS_M, , Accumulator, 2094933680, 0, 1, 1, 1, 1, 1
node_os.cache, stateEvent_GetX_I, , Accumulator, 2094933680, 0, 3970, 3970, 3970, 1, 1
node_os.cache, stateEvent_GetX_S, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetX_M, , Accumulator, 2094933680, 0, 1, 1, 1, 1, 1
node_os.cache, stateEvent_GetSX_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetSX_S, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetSX_M, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetSResp_IS, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetXResp_IS, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetXResp_IM, , Accumulator, 2094933680, 0, 3970, 3970, 3970, 1, 1
node_os.cache, stateEvent_GetXResp_SM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_S, , Accumulator, 2094933680, 0, 3, 3, 3, 1, 1
node_os.cache, stateEvent_Inv_IS, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_IM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_SM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_SB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_IB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_M, , Accumulator, 2094933680, 0, 1130, 1130, 1130, 1, 1
node_os.cache, stateEvent_FetchInvX_IS, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_IM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_SB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_IB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Fetch_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Fetch_S, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Fetch_IS, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Fetch_IM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Fetch_SM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Fetch_IB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Fetch_SB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInv_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInv_S, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInv_M, , Accumulator, 2094933680, 0, 59, 59, 59, 1, 1
node_os.cache, stateEvent_FetchInv_IS, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInv_IM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInv_SM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInv_SB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInv_IB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_ForceInv_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_ForceInv_S, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_ForceInv_M, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_ForceInv_IS, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_ForceInv_IM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_ForceInv_SM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_ForceInv_SB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_ForceInv_IB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLine_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLine_S, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLine_M, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLineInv_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLineInv_S, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLineInv_M, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLineResp_I, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLineResp_IB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLineResp_SB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_GetS, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_GetX, , Accumulator, 2094933680, 0, 3970, 3970, 3970, 1, 1
node_os.cache, eventSent_GetSX, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_Write, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_PutM, , Accumulator, 2094933680, 0, 2569, 2569, 2569, 1, 1
node_os.cache, eventSent_NACK, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_FlushLine, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_FlushLineInv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_FetchResp, , Accumulator, 2094933680, 0, 59, 59, 59, 1, 1
node_os.cache, eventSent_FetchXResp, , Accumulator, 2094933680, 0, 1130, 1130, 1130, 1, 1
node_os.cache, eventSent_AckInv, , Accumulator, 2094933680, 0, 3, 3, 3, 1, 1
node_os.cache, eventSent_GetSResp, , Accumulator, 2094933680, 0, 1, 1, 1, 1, 1
node_os.cache, eventSent_GetXResp, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_WriteResp, , Accumulator, 2094933680, 0, 3971, 3971, 3971, 1, 1
node_os.cache, eventSent_FlushLineResp, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_Put, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_Get, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_AckMove, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_CustomReq, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_CustomResp, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, eventSent_CustomAck, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, EventStalledForLockedCacheline, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, evict_I, , Accumulator, 2094933680, 0, 574, 574, 574, 1, 1
node_os.cache, evict_S, , Accumulator, 2094933680, 0, 827, 827, 827, 1, 1
node_os.cache, evict_M, , Accumulator, 2094933680, 0, 2569, 2569, 2569, 1, 1
node_os.cache, evict_IS, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, evict_IM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, evict_SM, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, evict_SB, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, latency_GetS_hit, , Accumulator, 2094933680, 0, 3, 9, 1, 3, 3
node_os.cache, latency_GetS_miss, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, latency_GetX_hit, , Accumulator, 2094933680, 0, 3, 9, 1, 3, 3
node_os.cache, latency_GetX_miss, , Accumulator, 2094933680, 0, 7459124, 14585221268, 3970, 846, 3376
node_os.cache, latency_GetX_upgrade, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, latency_GetSX_hit, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, latency_GetSX_miss, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, latency_GetSX_upgrade, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, latency_FlushLine, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, latency_FlushLine_fail, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, latency_FlushLineInv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, latency_FlushLineInv_fail, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSHit_Arrival, , Accumulator, 2094933680, 0, 1, 1, 1, 1, 1
node_os.cache, GetXHit_Arrival, , Accumulator, 2094933680, 0, 1, 1, 1, 1, 1
node_os.cache, GetSXHit_Arrival, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSHit_Blocked, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetXHit_Blocked, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSXHit_Blocked, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSMiss_Arrival, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetXMiss_Arrival, , Accumulator, 2094933680, 0, 3970, 3970, 3970, 1, 1
node_os.cache, GetSXMiss_Arrival, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSMiss_Blocked, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetXMiss_Blocked, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSXMiss_Blocked, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, CacheHits, , Accumulator, 2094933680, 0, 2, 2, 2, 1, 1
node_os.cache, CacheMisses, , Accumulator, 2094933680, 0, 3970, 3970, 3970, 1, 1
node_os.cache, stateEvent_AckPut_I, , Accumulator, 2094933680, 0, 3396, 3396, 3396, 1, 1
node_os.cache, eventSent_PutS, , Accumulator, 2094933680, 0, 827, 827, 827, 1, 1
node_os.cache, eventSent_PutE, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetS_E, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetX_E, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetSX_E, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLine_E, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FlushLineInv_E, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInv_E, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_ForceInv_E, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_E, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, evict_E, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, TotalEventsReceived, , Accumulator, 2094933680, 0, 12530, 12530, 12530, 1, 1
node_os.cache, TotalEventsReplayed, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, Put_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, Get_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, AckMove_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetS_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, Write_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSX_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSResp_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, WriteResp_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, CustomReq_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, CustomResp_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, CustomAck_uncache_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, NULLCMD_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetS_recv, , Accumulator, 2094933680, 0, 1, 1, 1, 1, 1
node_os.cache, GetX_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSX_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, Write_recv, , Accumulator, 2094933680, 0, 3971, 3971, 3971, 1, 1
node_os.cache, FlushLine_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, FlushLineInv_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetSResp_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, GetXResp_recv, , Accumulator, 2094933680, 0, 3970, 3970, 3970, 1, 1
node_os.cache, FlushLineResp_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, Inv_recv, , Accumulator, 2094933680, 0, 3, 3, 3, 1, 1
node_os.cache, ForceInv_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, Fetch_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, FetchInv_recv, , Accumulator, 2094933680, 0, 59, 59, 59, 1, 1
node_os.cache, FetchInvX_recv, , Accumulator, 2094933680, 0, 1130, 1130, 1130, 1, 1
node_os.cache, NACK_recv, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
node_os.cache, AckPut_recv, , Accumulator, 2094933680, 0, 3396, 3396, 3396, 1, 1
node_os.cache, MSHR_occupancy, , Accumulator, 2094933680, 0, 7447214, 43864140, 4815939, 0, 6
node_os.cache, Bank_conflicts, , Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
chiprtr, send_bit_count, port0, Accumulator, 2094933680, 0, 881728, 507645952, 1537, 64, 576
chiprtr, send_packet_count, port0, Accumulator, 2094933680, 0, 1537, 1537, 1537, 1, 1
chiprtr, output_port_stalls, port0, Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
chiprtr, idle_time, port0, Accumulator, 2094933680, 0, 1984320000, 180784960128000000, 1136, 144000, 412488000
chiprtr, width_adj_count, port0, Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
chiprtr, send_bit_count, port1, Accumulator, 2094933680, 0, 2570752, 1273102336, 10096, 64, 576
chiprtr, send_packet_count, port1, Accumulator, 2094933680, 0, 10096, 10096, 10096, 1, 1
chiprtr, output_port_stalls, port1, Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
chiprtr, idle_time, port1, Accumulator, 2094933680, 0, 1368021680, 175049997831942400, 1980, 93680, 412488000
chiprtr, width_adj_count, port1, Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
chiprtr, send_bit_count, port2, Accumulator, 2094933680, 0, 3895680, 2177753088, 8558, 64, 576
chiprtr, send_packet_count, port2, Accumulator, 2094933680, 0, 8558, 8558, 8558, 1, 1
chiprtr, output_port_stalls, port2, Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
chiprtr, idle_time, port2, Accumulator, 2094933680, 0, 1478757680, 406607330774022400, 1035, 21680, 637056000
chiprtr, width_adj_count, port2, Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
chiprtr, xbar_stalls, port0, Accumulator, 2094933680, 0, 94, 94, 94, 1, 1
chiprtr, xbar_stalls, port1, Accumulator, 2094933680, 0, 0, 0, 0, 0, 0
chiprtr, xbar_stalls, port2, Accumulator, 2094933680, 0, 136, 136, 136, 1, 1
dirctrl:cpulink, packet_latency, , Accumulator, 2094933680, 0, 1873775, 483872319, 10096, 50, 788
dirctrl:cpulink, send_bit_count, , Accumulator, 2094933680, 0, 4777984, 2685730816, 10096, 64, 576
